"PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
1,0.2,0,13.6986301369863,28.6575342465753,NA,0.136986301369863,0.136986301369863,0.136986301369863,0.136986301369863,0.301369863013697,0.63013698630137,0.066025,2,5,6,2,4
1,0.2,0,13.6986301369863,NA,NA,0.136986301369863,0.136986301369863,0.136986301369863,0.136986301369863,0.0547945205479436,NA,0.06955,5,5,3,4,3
1,0.2,0,5.06849315068493,NA,NA,0.136986301369863,0.136986301369863,0.136986301369863,0.136986301369863,0.219178082191782,NA,0.07265,2,4,7,3,7
1,0.2,0,5.3972602739726,NA,NA,0.383561643835616,0.383561643835616,0.383561643835616,0.383561643835616,0.0547945205479436,NA,0.07265,5,3,4,5,8
1,0.2,0,5.3972602739726,16.986301369863,30.7123287671233,0.465753424657535,0.465753424657535,0.465753424657535,0.465753424657535,0.0547945205479436,NA,0.087075,2,1,3,6,4
1,0.2,0,NA,NA,NA,0.301369863013697,0.301369863013697,0.301369863013697,0.301369863013697,0.219178082191782,NA,0.0712,2,6,6,4,5
1,0.2,0,2.52054794520548,NA,NA,0.219178082191782,0.219178082191782,0.219178082191782,0.219178082191782,0.465753424657535,NA,0.066975,5,5,3,4,3
1,0.2,0,29.972602739726,NA,NA,0.219178082191782,0.219178082191782,0.219178082191782,0.219178082191782,0.63013698630137,NA,0.069825,3,8,6,2,7
1,0.2,0,3.34246575342466,NA,NA,0.136986301369863,0.136986301369863,0.136986301369863,0.136986301369863,0.63013698630137,NA,0.0728,5,3,5,3,2
1,0.2,0,8.76712328767123,31.6986301369863,NA,0.712328767123289,0.712328767123289,0.712328767123289,0.712328767123289,0.0547945205479436,NA,0.0677,5,3,5,6,4
