"PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
1,0.2,0,22.5753424657534,NA,NA,2.43835616438356,8.35616438356164,NA,NA,1.2054794520548,NA,0.035125,4,8,4,5,3
1,0.2,0,22.8219178082192,NA,NA,3.67123287671233,NA,NA,NA,3.17808219178082,NA,0.029975,3,4,1,4,6
1,0.2,0,13.8630136986301,30.3013698630137,39.7534246575342,NA,NA,NA,NA,18.3835616438356,NA,0.03275,3,3,3,3,0
1,0.2,0,15.0958904109589,NA,NA,21.5890410958904,NA,NA,NA,1.6986301369863,NA,0.039525,4,3,3,4,5
1,0.2,0,1.61643835616438,NA,NA,12.7123287671233,14.6849315068493,NA,NA,3.83561643835617,NA,0.028875,6,5,6,3,5
1,0.2,0,32.1095890410959,NA,NA,3.34246575342466,5.89041095890411,11.3972602739726,20.8493150684931,5.06849315068493,NA,0.03155,4,6,5,2,0
1,0.2,0,16,NA,NA,3.34246575342466,16.7397260273973,20.4383561643836,NA,6.21917808219178,NA,0.0322,5,3,2,8,1
1,0.2,0,4.65753424657534,NA,NA,9.91780821917808,16.5753424657534,27.4246575342466,32.6027397260274,2.52054794520548,NA,0.033725,6,6,4,5,5
1,0.2,0,16.3287671232877,NA,NA,3.58904109589041,NA,NA,NA,14.6027397260274,NA,0.032575,6,4,5,2,4
1,0.2,0,12.0547945205479,NA,NA,9.67123287671233,23.3972602739726,28.4109589041096,38.9315068493151,0.63013698630137,NA,0.031375,7,6,3,4,6
1,0.2,0,3.26027397260274,NA,NA,26.9315068493151,NA,NA,NA,0.794520547945204,NA,0.030225,2,6,6,8,4
1,0.2,0,3.34246575342466,18.1369863013699,24.3835616438356,2.76712328767123,31.041095890411,NA,NA,5.23287671232877,NA,0.048075,7,9,11,8,4
1,0.2,0,4.41095890410959,NA,NA,3.42465753424657,NA,NA,NA,4.82191780821918,NA,0.0248,6,3,6,7,3
1,0.2,0,5.56164383561644,NA,NA,1.78082191780822,17.2328767123288,22.7397260273973,27.013698630137,14.9315068493151,NA,0.0329,2,3,5,8,5
1,0.2,0,9.26027397260274,NA,NA,5.64383561643836,12.8767123287671,NA,NA,6.38356164383562,NA,0.024475,5,6,2,5,3
1,0.2,0,3.01369863013699,39.3424657534247,NA,17.972602739726,NA,NA,NA,2.35616438356164,NA,0.034825,6,5,4,6,9
1,0.2,0,7.04109589041096,NA,NA,11.6438356164384,NA,NA,NA,2.10958904109589,NA,0.031225,4,2,3,5,5
1,0.2,0,5.97260273972603,NA,NA,4.08219178082192,NA,NA,NA,1.94520547945206,NA,0.03625,7,3,7,5,7
1,0.2,0,12.2191780821918,NA,NA,15.4246575342466,33.1780821917808,NA,NA,3.01369863013699,NA,0.034275,4,2,4,0,4
1,0.2,0,3.58904109589041,11.1506849315068,21.0958904109589,8.02739726027397,NA,NA,NA,1.94520547945206,NA,0.051275,2,3,1,7,5
1,0.2,0,3.75342465753425,NA,NA,32.7671232876712,NA,NA,NA,1.53424657534246,NA,0.02765,8,5,3,5,4
1,0.2,0,23.3150684931507,NA,NA,6.71232876712329,37.2054794520548,NA,NA,12.7123287671233,NA,0.036625,3,7,4,5,2
1,0.2,0,3.58904109589041,15.013698630137,36.3835616438356,7.04109589041096,27.7534246575342,30.3013698630137,NA,0.219178082191782,NA,0.036075,3,3,4,4,9
1,0.2,0,4.49315068493151,NA,NA,28.1643835616438,34.1643835616438,NA,NA,5.97260273972603,NA,0.025275,2,5,6,5,5
1,0.2,0,26.1917808219178,NA,NA,3.83561643835617,NA,NA,NA,7.78082191780822,NA,0.028225,2,5,1,6,4
1,0.2,0,6.46575342465754,NA,NA,7.45205479452055,11.3150684931507,NA,NA,0.547945205479451,NA,0.0364,1,2,4,8,3
1,0.2,0,7.61643835616438,17.8082191780822,NA,16.5753424657534,25.3698630136986,37.8630136986301,NA,0.876712328767123,NA,0.03875,3,8,3,4,1
1,0.2,0,16.9041095890411,NA,NA,8.84931506849315,23.4794520547945,34.0821917808219,NA,2.93150684931507,NA,0.0288,1,3,3,3,1
1,0.2,0,19.1232876712329,NA,NA,2.02739726027397,NA,NA,NA,0.794520547945204,NA,0.0307,3,5,3,7,1
1,0.2,0,1.78082191780822,NA,NA,11.2328767123288,16.9041095890411,29.2328767123288,NA,6.95890410958904,NA,0.02625,4,1,3,4,6
1,0.2,0,2.6027397260274,30.8767123287671,NA,1.94520547945206,20.3561643835616,24.3013698630137,NA,8.68493150684931,NA,0.035,7,7,1,2,5
1,0.2,0,7.36986301369863,32.5205479452055,NA,8.10958904109589,33.3424657534247,34.986301369863,NA,0.712328767123289,NA,0.038675,4,12,1,6,4
1,0.2,0,9.0958904109589,NA,NA,7.94520547945206,36.2191780821918,NA,NA,3.01369863013699,NA,0.031175,4,11,5,10,5
1,0.2,0,6.46575342465754,NA,NA,12.958904109589,34.9041095890411,NA,NA,5.15068493150685,NA,0.028475,3,8,7,9,6
1,0.2,0,11.8904109589041,NA,NA,11.3972602739726,NA,NA,NA,6.21917808219178,NA,0.040125,5,5,3,4,6
1,0.2,0,2.84931506849315,29.2328767123288,NA,9.17808219178082,NA,NA,NA,4.98630136986301,NA,0.034,5,1,1,7,5
1,0.2,0,2.76712328767123,17.2328767123288,NA,4.32876712328767,6.46575342465754,NA,NA,0.465753424657535,NA,0.03625,6,4,2,7,4
1,0.2,0,20.6849315068493,NA,NA,5.56164383561644,10.0821917808219,NA,NA,1.53424657534246,NA,0.03085,3,3,2,4,5
1,0.2,0,1.86301369863014,17.8904109589041,NA,18.7123287671233,31.6986301369863,NA,NA,6.13698630136986,NA,0.039425,2,2,8,3,4
1,0.2,0,4.9041095890411,37.041095890411,NA,6.87671232876712,NA,NA,NA,13.3698630136986,NA,0.03395,8,4,2,5,2
1,0.2,0,26.9315068493151,NA,NA,12.0547945205479,NA,NA,NA,0.0547945205479436,NA,0.02855,7,6,8,6,6
1,0.2,0,21.3424657534247,NA,NA,30.4657534246575,NA,NA,NA,8.6027397260274,NA,0.0362,4,3,3,3,6
1,0.2,0,8.6027397260274,NA,NA,3.34246575342466,NA,NA,NA,2.6027397260274,NA,0.034625,5,3,5,4,5
1,0.2,0,14.4383561643836,24.6301369863014,38.9315068493151,22,29.3972602739726,32.6027397260274,39.013698630137,5.3972602739726,NA,0.041625,1,5,6,8,5
1,0.2,0,11.8082191780822,NA,NA,1.94520547945206,35.972602739726,NA,NA,0.301369863013697,NA,0.031575,5,4,5,6,3
1,0.2,0,4.16438356164383,NA,NA,15.4246575342466,NA,NA,NA,23.3972602739726,NA,0.034725,4,10,8,8,5
1,0.2,0,3.67123287671233,NA,NA,4.73972602739726,NA,NA,NA,0.136986301369863,NA,0.026275,6,2,2,2,4
1,0.2,0,8.6027397260274,NA,NA,10.3287671232877,31.5342465753425,NA,NA,5.31506849315069,NA,0.033125,1,3,5,6,3
1,0.2,0,2.19178082191781,13.041095890411,NA,27.7534246575342,NA,NA,NA,8.84931506849315,NA,0.032525,15,14,20,19,16
1,0.2,0,2.93150684931507,16.6575342465753,NA,5.23287671232877,17.3972602739726,21.2602739726027,29.2328767123288,2.6027397260274,NA,0.03415,10,11,10,6,2
1,0.2,0,14.9315068493151,39.8356164383562,NA,4.08219178082192,NA,NA,NA,0.219178082191782,NA,0.0316,1,5,7,2,6
1,0.2,0,1.53424657534246,27.2602739726027,NA,16.4109589041096,36.4657534246575,NA,NA,4.82191780821918,NA,0.02745,5,2,5,3,5
1,0.2,0,9.50684931506849,NA,NA,9.50684931506849,NA,NA,NA,8.52054794520548,NA,0.034525,4,6,4,2,5
1,0.2,0,5.80821917808219,NA,NA,6.54794520547945,NA,NA,NA,1.45205479452055,NA,0.030725,5,5,7,7,7
1,0.2,0,8.35616438356164,21.4246575342466,NA,3.0958904109589,11.0684931506849,39.9178082191781,NA,6.3013698630137,NA,0.03015,12,14,14,13,14
1,0.2,0,3.0958904109589,33.9178082191781,NA,7.45205479452055,22.4109589041096,27.2602739726027,29.3150684931507,6.95890410958904,NA,0.0325,3,6,8,6,6
1,0.2,0,10.4931506849315,NA,NA,7.61643835616438,12.8767123287671,15.5068493150685,NA,4.32876712328767,NA,0.035275,4,5,9,2,5
1,0.2,0,6.63013698630137,NA,NA,4.9041095890411,17.3972602739726,38.6849315068493,NA,10,NA,0.03945,7,7,2,2,5
1,0.2,0,14.1095890410959,NA,NA,2.84931506849315,28.4109589041096,NA,NA,3.26027397260274,NA,0.029375,8,2,5,7,2
1,0.2,0,8.68493150684931,NA,NA,2.84931506849315,11.0684931506849,26.4383561643836,NA,1.28767123287671,NA,0.0302,5,5,7,3,5
1,0.2,0,10.3287671232877,NA,NA,7.04109589041096,NA,NA,NA,6.63013698630137,NA,0.03265,3,8,5,6,0
1,0.2,0,10.7397260273973,NA,NA,4.49315068493151,12.7945205479452,NA,NA,11.6438356164384,NA,0.0307,4,3,9,3,2
1,0.2,0,8.19178082191781,28.0821917808219,34,22.4109589041096,33.7534246575342,NA,NA,12.3835616438356,NA,0.03385,2,4,6,5,10
1,0.2,0,4,26.1095890410959,32.9315068493151,3.0958904109589,6.95890410958904,36.1369863013699,NA,1.28767123287671,NA,0.0354,6,8,6,4,6
1,0.2,0,4.57534246575343,17.6438356164384,NA,5.31506849315069,NA,NA,NA,6.21917808219178,NA,0.02935,1,6,1,4,3
1,0.2,0,7.04109589041096,20.6027397260274,33.0958904109589,6.71232876712329,28.9041095890411,NA,NA,16.9041095890411,NA,0.0323,3,5,8,3,5
1,0.2,0,7.2054794520548,32.1917808219178,NA,12.7945205479452,31.8630136986301,NA,NA,7.12328767123288,NA,0.0398,5,5,5,5,5
1,0.2,0,8.02739726027397,NA,NA,9.26027397260274,29.8082191780822,37.2876712328767,NA,0.465753424657535,NA,0.036875,3,3,9,8,5
1,0.2,0,7.04109589041096,NA,NA,14.2739726027397,36.3835616438356,NA,NA,1.2054794520548,NA,0.034875,5,4,2,7,4
1,0.2,0,4,36.2191780821918,NA,5.47945205479452,NA,NA,NA,4.82191780821918,NA,0.0318,11,15,14,18,18
1,0.2,0,11.3150684931507,NA,NA,1.53424657534246,8.43835616438356,25.6986301369863,34.8219178082192,17.1506849315069,NA,0.034575,8,1,2,1,5
1,0.2,0,10.986301369863,29.4794520547945,37.041095890411,11.8904109589041,NA,NA,NA,0.876712328767123,NA,0.04015,4,7,6,6,4
1,0.2,0,3.50684931506849,NA,NA,4.82191780821918,28.3287671232877,NA,NA,2.43835616438356,NA,0.02955,5,3,9,3,4
